issue, severity, confidence, filename, location, sample, description, url
CSP_GLOBAL_CHECK,"LOW","TENTATIVE","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\csp.ts","62:6",N/A,"Failed to parse CSP, it may not be valid.",https://github.com/doyensec/electronegativity/wiki/CSP_GLOBAL_CHECK
HTTP_RESOURCES_JS_CHECK,"MEDIUM","CERTAIN","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\window.ts","74:4","win.loadURL('http://localhost:5177');","Do not allow insecure HTTP connections",https://github.com/doyensec/electronegativity/wiki/HTTP_RESOURCES_JS_CHECK
AUXCLICK_JS_CHECK,"MEDIUM","FIRM","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\startupSplash.ts","292:17","const splash = new BrowserWindow({","Limit navigation flows to untrusted origins. Middle-click may cause Electron to open a link within a new window",https://github.com/doyensec/electronegativity/wiki/AUXCLICK_JS_CHECK
REMOTE_MODULE_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\startupSplash.ts","292:17","const splash = new BrowserWindow({","Disable the remote module",https://github.com/doyensec/electronegativity/wiki/REMOTE_MODULE_JS_CHECK
AUXCLICK_JS_CHECK,"MEDIUM","FIRM","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\window.ts","52:14","const win = new BrowserWindow({","Limit navigation flows to untrusted origins. Middle-click may cause Electron to open a link within a new window",https://github.com/doyensec/electronegativity/wiki/AUXCLICK_JS_CHECK
REMOTE_MODULE_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\window.ts","52:14","const win = new BrowserWindow({","Disable the remote module",https://github.com/doyensec/electronegativity/wiki/REMOTE_MODULE_JS_CHECK
PRELOAD_JS_CHECK,"MEDIUM","FIRM","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\window.ts","64:6","preload: path.join(__dirname, 'preload.js'),","Review the use of preload scripts",https://github.com/doyensec/electronegativity/wiki/PRELOAD_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\window.ts","103:4","shell.openExternal(url);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\window.ts","114:11","void shell.openExternal(url);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
OPEN_EXTERNAL_JS_CHECK,"MEDIUM","TENTATIVE","C:\Users\Joao Batista\Desktop\BeeforDev\src\main\ipc\handlers\timesheet.handlers.ts","37:12","await shell.openExternal(BEEFOR_LOGIN_URL);","Review the use of openExternal",https://github.com/doyensec/electronegativity/wiki/OPEN_EXTERNAL_JS_CHECK
